src_tags	tgt_tags	distinct_tags
['np', 'ant']	['np', 'ant', 'f', 'sg']	['sg', 'f']
['np', 'ant']	['np', 'ant', 'm', 'sg']	['sg', 'm']
['np', 'f', 'sg']	['np', 'org', 'f', 'sg']	['org']
['np', 'm', 'sg']	['np', 'org', 'm', 'sg']	['org']
['np', 'loc']	['np', 'loc', 'm', 'sg']	['sg', 'm']
['np', 'cog', 'cog', 'cog', 'ant']	['np', 'cog', 'cog', 'cog', 'cog', 'mf', 'sp']	['sp', 'ant', 'mf']
['np', 'cog', 'cog', 'ant']	['np', 'cog', 'cog', 'cog', 'mf', 'sp']	['sp', 'ant', 'mf']
['np', 'loc']	['np', 'loc', 'f', 'sg']	['sg', 'f']
['np', 'cog']	['np', 'cog', 'mf', 'sp']	['sp', 'mf']
['np', 'loc']	['np', 'loc', 'f', 'pl']	['f', 'pl']
['np', 'ant']	['np', 'al', 'm', 'sg']	['al', 'sg', 'ant', 'm']
['np', 'al']	['np', 'loc', 'm', 'sg']	['loc', 'sg', 'al', 'm']
['np', 'loc']	['np', 'loc', 'm', 'pl']	['m', 'pl']
['np', 'loc']	['np', 'loc', 'f', 'sg', 'np', 'loc']	['sg', 'f']
['np', 'al']	['np', 'loc', 'f', 'sg']	['loc', 'f', 'al', 'sg']
['rel', 'an', 'GD', 'ND']	['rel', 'an', 'mf', 'sp']	['sp', 'GD', 'mf', 'ND']
['rel', 'adv']	['rel', 'an', 'm', 'sg']	['sg', 'an', 'm', 'adv']
['rel', 'an', 'nt']	['rel', 'an', 'm', 'sg']	['sg', 'm', 'nt']
['rel', 'nn', 'mf', 'sg']	['rel', 'nn', 'mf', 'sp']	['sg', 'sp']
['rel', 'nn', 'mf', 'pl']	['rel', 'nn', 'mf', 'sp']	['sp', 'pl']
['rel', 'nn', 'mf', 'ND']	['rel', 'nn', 'mf', 'sp']	['sp', 'ND']
['vbhaver', 'ger']	['vbhaver', 'pprs', 'mf', 'sg']	['sg', 'pprs', 'mf', 'ger']
['num', 'pl']	['num', 'mf', 'sp']	['sp', 'mf', 'pl']
['num', 'pl']	['num', 'm', 'sp']	['sp', 'm', 'pl']
['n', 'acr']	['n', 'acr', 'm']	['m']
['n', 'sg']	['n', 'f', 'sg']	['f']
['n', 'sg']	['n', 'f', 'pl']	['sg', 'f', 'pl']
['n', 'sg']	['n', 'm', 'sg']	['m']
['n', 'acr']	['n', 'acr', 'f']	['f']
['n', 'pl']	['n', 'f', 'pl']	['f']
['n', 'sg']	['n', 'm', 'pl']	['sg', 'm', 'pl']
['n', 'pl']	['n', 'f', 'sg']	['sg', 'f', 'pl']
['n', 'ND']	['n', 'f', 'sp']	['sp', 'f', 'ND']
['n', 'sg']	['n', 'mf', 'sg']	['mf']
['n', 'pl']	['n', 'GD', 'pl']	['GD']
['n', 'pl']	['n', 'm', 'pl']	['m']
['n', 'pl']	['n', 'm', 'sg']	['sg', 'm', 'pl']
['n', 'pl']	['n', 'pl', 'f']	['f']
['n', 'sg']	['n', 'pl', 'f']	['sg', 'f', 'pl']
['n', 'acr', 'sg']	['n', 'acr', 'f', 'sp']	['sg', 'sp', 'f']
['n', 'acr', 'pl']	['n', 'acr', 'f', 'sp']	['sp', 'f', 'pl']
['n', 'acr', 'ND']	['n', 'acr', 'f', 'sp']	['sp', 'f', 'ND']
['n', 'acr', 'sg']	['n', 'acr', 'm', 'sp']	['sg', 'sp', 'm']
['n', 'acr', 'pl']	['n', 'acr', 'm', 'sp']	['sp', 'm', 'pl']
['n', 'acr', 'ND']	['n', 'acr', 'm', 'sp']	['sp', 'm', 'ND']
